ASISr_X,ASISr_Y,ASISr_Z,ASISl_X,ASISl_Y,ASISl_Z,PSISr_X,PSISr_Y,PSISr_Z,PSISl_X,PSISl_Y,PSISl_Z
666.63,306.741,174.192,752.222,77.038,187.31599999999997,852.303,301.9,220.774,888.7330000000001,196.00099999999998,220.988
666.58,306.764,174.101,752.003,77.0233,187.28400000000002,852.242,301.791,220.84,888.617,195.855,221.071
666.556,306.791,174.013,751.7739999999999,77.0034,187.255,852.189,301.684,220.903,888.59,195.71900000000002,221.17700000000002
666.6310000000001,306.829,173.81099999999998,751.533,76.9797,187.218,852.182,301.548,220.96,888.666,195.61599999999999,221.321
666.6389999999999,306.83799999999997,173.78400000000002,751.314,76.9428,187.197,852.172,301.442,221.013,888.78,195.50400000000002,221.463
666.553,306.85,173.78799999999998,751.059,76.8903,187.18900000000002,852.198,301.33099999999996,221.062,888.795,195.37900000000002,221.58
666.572,306.921,173.75799999999998,750.811,76.8615,187.21900000000002,852.247,301.245,221.106,888.1030000000001,195.132,221.46900000000002
666.551,306.906,173.791,750.553,76.8435,187.287,852.323,301.155,221.15400000000002,888.33,195.063,221.662
666.632,307.11400000000003,173.66299999999998,750.28,76.8116,187.393,852.4119999999999,301.062,221.197,887.8839999999999,194.803,221.607
666.7180000000001,307.23400000000004,173.678,750.0189999999999,76.8048,187.532,852.467,300.947,221.22,887.7810000000001,194.63,221.69099999999997
666.9,307.39099999999996,173.667,749.7669999999999,76.8122,187.692,852.546,300.816,221.252,887.712,194.445,221.80200000000002
666.8389999999999,307.276,173.935,749.5310000000001,76.8177,187.875,852.591,300.665,221.27,887.6289999999999,194.22099999999998,221.877
667.1089999999999,307.60400000000004,173.93200000000002,749.3,76.8243,188.048,852.6510000000001,300.47,221.269,887.565,194.00799999999998,221.94299999999998
667.37,307.731,173.94,749.071,76.8258,188.21900000000002,852.665,300.274,221.253,887.99,193.858,222.12900000000002
667.3760000000001,307.861,174.013,748.85,76.843,188.388,852.703,300.046,221.235,887.768,193.584,222.101
667.466,307.89599999999996,174.12,748.672,76.8332,188.52900000000002,852.762,299.816,221.243,887.5269999999999,193.294,222.072
