EMG1,EMG11,EMG5,IM EMG13
-1.47e-05,2.8699999999999996e-05,3.09e-06,-4.52e-06
-1.57e-05,2.75e-05,3.18e-06,-4.52e-06
-1.51e-05,2.8499999999999998e-05,6.96e-06,-3.87e-06
-1.47e-05,3.0299999999999998e-05,1.13e-05,-3.87e-06
-1.6100000000000002e-05,2.8999999999999997e-05,1.36e-05,-4.15e-06
-1.6899999999999997e-05,2.8899999999999998e-05,1.3500000000000001e-05,-4.15e-06
-1.63e-05,2.9299999999999997e-05,8.01e-06,-1.05e-06
-1.63e-05,2.7399999999999995e-05,-1.03e-06,7.35e-06
-1.77e-05,2.8800000000000002e-05,-5.71e-06,7.35e-06
-1.9e-05,2.9299999999999997e-05,-3.69e-06,5.17e-06
-1.9399999999999997e-05,2.9100000000000003e-05,2.02e-06,5.17e-06
-1.88e-05,2.9299999999999997e-05,6.85e-06,2.51e-06
-1.7e-05,2.7899999999999997e-05,7.83e-06,2.51e-06
-1.53e-05,2.7699999999999996e-05,6.18e-06,1.83e-06
-1.3800000000000002e-05,2.8199999999999998e-05,4.33e-06,1.83e-06
-1.18e-05,2.7399999999999995e-05,2.79e-06,1.04e-06
-1.0199999999999999e-05,2.8800000000000002e-05,1.34e-06,3.35e-06
-9.84e-06,2.9100000000000003e-05,4.14e-07,3.35e-06
-1.11e-05,2.8300000000000003e-05,3.6799999999999996e-07,2.86e-06
-1.3000000000000001e-05,2.84e-05,1.72e-06,2.86e-06
-1.4099999999999999e-05,2.84e-05,4e-06,3.19e-06
-1.47e-05,2.8199999999999998e-05,4.55e-06,3.19e-06
-1.59e-05,2.8699999999999996e-05,3.26e-06,3.16e-06
-1.8e-05,2.8999999999999997e-05,3.21e-06,3.16e-06
-2e-05,2.8499999999999998e-05,4.89e-06,1.17e-06
-2.13e-05,2.7899999999999997e-05,6.38e-06,1.16e-06
-2.2e-05,2.7699999999999996e-05,7.45e-06,1.16e-06
-2.22e-05,2.8199999999999998e-05,8.61e-06,-6.06e-08
-2.26e-05,2.9600000000000005e-05,9.31e-06,-6.06e-08
-2.15e-05,2.95e-05,9.95e-06,-4.44e-06
-1.9600000000000002e-05,2.8199999999999998e-05,1.1900000000000001e-05,-4.44e-06
-1.9600000000000002e-05,2.8999999999999997e-05,1.36e-05,-9.56e-06
-1.9600000000000002e-05,2.8899999999999998e-05,1.3300000000000001e-05,-9.56e-06
-1.92e-05,2.9100000000000003e-05,1.1900000000000001e-05,-8.99e-06
-2.1e-05,3.02e-05,1.09e-05,-3.73e-06
-2.36e-05,2.78e-05,1.06e-05,-3.73e-06
-2.48e-05,2.9600000000000005e-05,8.7e-06,-6.51e-06
-2.48e-05,2.8800000000000002e-05,6.01e-06,-6.51e-06
-2.51e-05,2.7000000000000002e-05,4.13e-06,-4.17e-06
-2.59e-05,2.94e-05,4.14e-06,-4.17e-06
-2.58e-05,2.8999999999999997e-05,7.08e-06,-2.36e-06
-2.54e-05,2.8499999999999998e-05,1.04e-05,-2.36e-06
-2.56e-05,2.8100000000000002e-05,1.11e-05,-2.82e-06
-2.59e-05,2.98e-05,1.11e-05,-1.45e-07
-2.54e-05,2.8499999999999998e-05,1.1900000000000001e-05,-1.45e-07
-2.49e-05,2.84e-05,1.3300000000000001e-05,1.52e-06
-2.47e-05,3.02e-05,1.36e-05,1.52e-06
-2.45e-05,2.9600000000000005e-05,1.05e-05,1.86e-06
-2.37e-05,2.8199999999999998e-05,5.53e-06,1.86e-06
-2.24e-05,2.8199999999999998e-05,1.89e-06,2.52e-06
-2.2e-05,2.8499999999999998e-05,-1.22e-06,2.52e-06
-2.27e-05,2.7899999999999997e-05,-4.89e-06,2.87e-06
